athlete_id,age,height_cm,weight_kg,resting_heart_rate,max_heart_rate,VO2_max,cumulative_hits,cumulative_runs,training_hours_per_week,reaction_time_sec,agility_score,strength_score,endurance_score,training_load_au,speed_index,fatigue_score,recovery_time_hr,biomechanical_efficiency,participation_ratio_pct,long_term_training_effect_pct,adaptation_pct,training_session_count,fitness_score,feedback_score,training_effectiveness
ATH0001,21,150,78,94,160,42.70389640666636,181,112,18,0.29365153038549013,1.276542651789736,65.00924511399315,88.02517732816871,245.0545806163404,72.61060683694186,37.43361536967396,34.49495649045345,98.66895978875587,72.790102833873,39.55220066197174,90.0540991359577,4,78.8144013967911,1.0912306427504923,56.21686421194706
ATH0002,18,194,72,70,198,47.268218700015666,79,19,14,0.6225421771384136,87.15518564582477,65.36564764056205,27.993732969190667,1513.0237250018079,31.447663586651053,27.208415757797766,23.445709170852812,63.10819552043997,97.21441224473784,48.193909031249035,72.13540047343153,1,12.652567631557798,2.0890072603918792,48.10676692099796
ATH0003,27,162,59,67,187,48.03866458158428,207,80,3,0.3014982624504747,44.673952531139285,95.62211736436277,10.595591134404769,1130.766374101141,82.88971119758777,8.831272121857781,42.1859795459955,60.64253854799569,50.988122294306194,58.83933539229109,23.088057318589584,4,61.03077815400959,4.448025889074353,44.2347228886788
ATH0004,29,153,74,86,213,37.40497872033863,327,99,18,0.6739947833411241,34.296651970007815,0.30208713561612477,11.224107199158862,829.3878150615624,60.34175784722833,83.01389022766536,34.87089615670058,54.02582792957559,76.36200715122271,43.518132655750634,63.203950416046524,3,99.59066403863423,1.1464388633688034,43.789235025309424
ATH0005,25,150,81,94,218,47.93509697993706,252,167,8,0.5859944484221304,13.82455656340571,24.79324498058072,29.12233185782761,2114.5480158311766,38.91230096150302,85.31113891570364,5.3483404908348655,78.0898926331069,52.69492807422948,81.09205302005246,90.30077739539844,7,59.555070123248576,2.7445883996629794,44.211348123021615
ATH0006,22,198,73,81,157,51.248348190872875,115,158,5,0.6980603182662254,43.94653743584421,92.77914793753155,61.418372398453926,2331.5076232152023,55.76423933431586,21.975030016687946,31.518630222986797,50.68021977253341,76.84389908364389,13.538753890162594,73.00306368683698,5,78.58716255931056,1.4702682818929111,54.445490609277385
ATH0007,27,189,66,85,183,60.29582132835816,157,135,4,0.20803758484386528,49.632277128437885,93.21339153982831,80.43203260971725,809.8896051853319,57.676084743592426,6.477219952520175,9.030169240567805,70.59491488049683,83.35898214165138,48.85907843787022,23.381595312102704,3,76.9061473381171,2.667362637041471,53.713352170128694
ATH0008,19,181,48,66,197,57.98553196525628,317,197,4,0.3558723933242913,40.36466944934778,72.05864193706374,89.92503069815648,243.39756637010706,16.5535292693866,73.88274373511796,38.58012673099125,53.669200832600424,83.33825975977231,44.40303231907642,88.1049247061047,2,35.03175258723286,4.355406337057509,55.56360231223823
ATH0009,21,183,64,84,205,59.8067979330204,271,106,15,0.5930643455297047,67.86600938268971,76.576332104754,62.37533843692328,2561.3828316391814,40.27323698669662,21.15286258634137,47.634830595975586,70.2612891464667,88.9044394409566,68.28206417261731,37.13896119599788,2,37.18493027039589,3.4922841336100765,62.09100418183543
ATH0010,24,177,76,98,214,35.29272886569,341,83,11,0.9604028492713079,42.0896528759226,9.148295792964712,0.563131274805373,128.88324949247962,34.34305880194931,39.343548943686024,27.841548152384995,51.996609463280464,91.21301367749899,96.96486267076564,50.86685298811076,5,72.40764217904032,3.947025381325693,40.05960954593648
